ch-zrh-wg-502	6rXNS6RlZ9YLZQjaEbfzAmt/6izpuMg/8LYI9jBK+i0	135.136.18.194:51820
cl-scl-wg-001	03qeK7CSn6wcMzfqilmVt6Tf81VZIPWnSG04euSkyxM	149.88.104.2:51820
cl-scl-wg-002	rn9O+cXj0WQgZAkGCoYvvWgzaB5GcOaVfke3WKsp1Ro	149.88.104.15:51820
co-bog-wg-001	iaMa84nCHK+v4TnQH4h2rxkqwwxemORXM12VbJDRZSU	154.47.16.34:51820
co-bog-wg-002	IZDwbG9C/NrOOGVUrn+fDaPr8ZwD/yhvST7XWGk1ln8	154.47.16.47:51820
cy-nic-wg-001	Ae9YcQjcQT+W8MU0EhKXx6KPWo6ticS1NI91e+Zy5GA	195.47.194.131:51820
cy-nic-wg-002	LOd1SY9YCHGiJUVT+XdYRdORu6ZMw4CqOKQBW2ElLg8	195.47.194.161:51820
cz-prg-wg-101	tWVga+pS/Ztrbx/L/PBlaWPGhkI3PCPBzbQlCeXWqn8	146.70.129.98:51820
cz-prg-wg-102	cRCJ0vULwKRbTfzuo9W+fIt0fJGQE7DLvojIiURIpiI	146.70.129.130:51820
cz-prg-wg-201	5FZW+fNA2iVBSY99HFl+KjGc9AFVNE+UFAedLNhu8lc	178.249.209.162:51820
cz-prg-wg-202	ReGrGPKDHri64D7qeXmgcLzjsTJ0B/yM7eekFz1P/34	178.249.209.175:51820
de-ber-wg-001	0qSP0VxoIhEhRK+fAHVvmfRdjPs2DmmpOCNLFP/7cGw	193.32.248.66:51820
de-ber-wg-002	8ov1Ws0ut3ixWDh9Chp7/WLVn9qC6/WVHtcBcuWBlgo	193.32.248.67:51820
de-ber-wg-003	USrMatdHiCL5AKdVMpHuYgWuMiK/GHPwRB3Xx00FhU0	193.32.248.68:51820
de-ber-wg-004	6PchzRRxzeeHdNLyn3Nz0gmN7pUyjoZMpKmKzJRL4GM	193.32.248.69:51820
de-ber-wg-005	I4Y7e8LrtBC/7DLpUgRd5k+IZk+whOFVAZgbSivoiBI	193.32.248.70:51820
de-ber-wg-006	eprzkkkSbXCANngQDo305DIAvkKAnZaN71IpTNaOoTk	193.32.248.71:51820
de-ber-wg-007	/ejdxiEsmYbeXXCN6UzvzJ0U/mLuB6baIfQRYKYHWzU	193.32.248.75:51820
de-ber-wg-008	qwXs9gwhwqWgRtLjPiZ+zMphZJA3OStsn/aXcCAd5m0	193.32.248.74:51820
de-dus-wg-001	ku1NYeOAGbY65YL/JKZhrqVzDJKXQiVj9USXbfkOBA0	185.254.75.3:51820
de-dus-wg-002	TPAIPTgu9jIitgX1Bz5xMCZJ9pRRZTdtZEOIxArO0Hc	185.254.75.4:51820
de-dus-wg-003	XgSe9UwEV4JJNPPzFFOVYS6scMTL4DeNlwqBl32lDw0	185.254.75.5:51820
de-fra-wg-001	HQHCrq4J6bSpdW1fI5hR/bvcrYa6HgGgwaa5ZY749ik	185.213.155.73:51820
